Notes,State,State Code,Deaths,Population,Crude Rate
,Alabama,1,45,4480089,1
,Alaska,2,-1,642337,-1
,Arizona,4,25,5396255,0.5
,Arkansas,5,22,2705927,0.8
,California,6,44,34871843,0.1
,Colorado,8,-1,4490406,-1
,Connecticut,9,-1,3458749,-1
,Delaware,10,-1,806169,-1
,District of Columbia,11,-1,573158,-1
,Florida,12,26,16689370,0.2
,Georgia,13,19,8508256,-1
,Hawaii,15,-1,1239613,-1
,Idaho,16,-1,1340372,-1
,Illinois,17,17,12525556,-1
,Indiana,18,24,6155967,0.4
,Iowa,19,-1,2934234,-1
,Kansas,20,-1,2713535,-1
,Kentucky,21,39,4089875,1
,Louisiana,22,47,4497267,1
,Maine,23,-1,1295960,-1
,Maryland,24,-1,5440389,-1
,Massachusetts,25,-1,6417206,-1
,Michigan,26,11,10015710,-1
,Minnesota,27,-1,5018935,-1
,Mississippi,28,21,2858681,0.7
,Missouri,29,12,5674825,-1
,Montana,30,-1,911667,-1
,Nebraska,31,-1,1728292,-1
,Nevada,32,-1,2173791,-1
,New Hampshire,33,-1,1269089,-1
,New Jersey,34,28,8552643,0.3
,New Mexico,35,-1,1855309,-1
,New York,36,16,19137800,-1
,North Carolina,37,26,8326201,0.3
,North Dakota,38,-1,638168,-1
,Ohio,39,19,11407889,-1
,Oklahoma,40,13,3489080,-1
,Oregon,41,-1,3513424,-1
,Pennsylvania,42,25,12331031,0.2
,Rhode Island,44,-1,1065995,-1
,South Carolina,45,31,4107795,0.8
,South Dakota,46,-1,760020,-1
,Tennessee,47,46,5795918,0.8
,Texas,48,53,21690325,0.2
,Utah,49,-1,2324815,-1
,Vermont,50,-1,615442,-1
,Virginia,51,18,7286873,-1
,Washington,53,-1,6052349,-1
,West Virginia,54,12,1805414,-1
,Wisconsin,55,-1,5445162,-1
,Wyoming,56,-1,500017,-1
Total,,,762,287625193,0.3
---,,,,,
"Dataset: Multiple Cause of Death, 1999-2018",,,,,
Query Parameters:,,,,,
UCD - Injury Intent: Unintentional,,,,,
UCD - Injury Mechanism & All Other Leading Causes: Firearm,,,,,
Year/Month: 2002,,,,,
Group By: State,,,,,
Show Totals: True,,,,,
Show Zero Values: False,,,,,
Show -1: True,,,,,
"Calculate Rates Per: 100,000",,,,,
Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups),,,,,
---,,,,,
Help: See http://wonder.cdc.gov/wonder/help/mcd.html for more information.,,,,,
---,,,,,
"Query Date: May 23, 2020 12:12:38 AM",,,,,
---,,,,,
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Multiple Cause of Death",,,,,
"1999-2018 on CDC WONDER Online Database, released in 2020. Data are from the Multiple Cause of Death Files, 1999-2018, as",,,,,
compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed,,,,,
"at http://wonder.cdc.gov/mcd-icd10.html on May 23, 2020 12:12:38 AM",,,,,
---,,,,,
Caveats:,,,,,
1. Data are -1 when the data meet the criteria for confidentiality constraints. More information:,,,,,
http://wonder.cdc.gov/wonder/help/mcd.html#Assurance of Confidentiality.,,,,,
2. Death rates are flagged as -1 when the rate is calculated with a numerator of 20 or less. More information:,,,,,
http://wonder.cdc.gov/wonder/help/mcd.html#-1.,,,,,
"3. The population figures for year 2018 are bridged-race estimates of the July 1 resident population, from the Vintage 2018",,,,,
"postcensal series released by NCHS on June 25, 2019. The population figures for year 2017 are bridged-race estimates of the July",,,,,
"1 resident population, from the Vintage 2017 postcensal series released by NCHS on June 27, 2018. The population figures for",,,,,
"year 2016 are bridged-race estimates of the July 1 resident population, from the Vintage 2016 postcensal series released by NCHS",,,,,
"on June 26, 2017. The population figures for year 2015 are bridged-race estimates of the July 1 resident population, from the",,,,,
"Vintage 2015 postcensal series released by NCHS on June 28, 2016. The population figures for year 2014 are bridged-race",,,,,
"estimates of the July 1 resident population, from the Vintage 2014 postcensal series released by NCHS on June 30, 2015. The",,,,,
"population figures for year 2013 are bridged-race estimates of the July 1 resident population, from the Vintage 2013 postcensal",,,,,
"series released by NCHS on June 26, 2014. The population figures for year 2012 are bridged-race estimates of the July 1 resident",,,,,
"population, from the Vintage 2012 postcensal series released by NCHS on June 13, 2013. Population figures for 2011 are",,,,,
"bridged-race estimates of the July 1 resident population, from the county-level postcensal Vintage 2011 series released by NCHS",,,,,
"on July 18, 2012. Population figures for 2010 are April 1 Census counts. The population figures for years 2001 - 2009, are",,,,,
"bridged-race estimates of the July 1 resident population, from the revised intercensal county-level 2000 - 2009 series released",,,,,
"by NCHS on October 26, 2012. Population figures for 2000 are April 1 Census counts. Population figures for 1999 are from the",,,,,
1990-1999 intercensal series of July 1 estimates. Population figures for Infant Age Groups are the number of live births.,,,,,
"<br/><b>Note:</b> Rates and population figures for years 2001 - 2009 differ slightly from previously published reports, due to",,,,,
use of the population estimates which were available at the time of release.,,,,,
4. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the,,,,,
resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/mcd.html#Age Group.,,,,,
