Notes,State,State Code,Deaths,Population,Crude Rate
,Alabama,1,-1,4718206,-1
,Alaska,2,-1,687455,-1
,Arizona,4,-1,6280362,-1
,Arkansas,5,-1,2874554,-1
,California,6,70,36604337,0.2
,Colorado,8,-1,4889730,-1
,Connecticut,9,-1,3545579,-1
,Delaware,10,-1,883874,-1
,District of Columbia,11,-1,580236,-1
,Florida,12,18,18527305,-1
,Georgia,13,10,9504843,-1
,Hawaii,15,-1,1332213,-1
,Idaho,16,-1,1534320,-1
,Illinois,17,11,12747038,-1
,Indiana,18,-1,6424806,-1
,Iowa,19,-1,3016734,-1
,Kansas,20,-1,2808076,-1
,Kentucky,21,-1,4289878,-1
,Louisiana,22,-1,4435586,-1
,Maine,23,-1,1330509,-1
,Maryland,24,20,5684965,0.4
,Massachusetts,25,-1,6468967,-1
,Michigan,26,-1,9946889,-1
,Minnesota,27,-1,5247018,-1
,Mississippi,28,-1,2947806,-1
,Missouri,29,-1,5923916,-1
,Montana,30,-1,976415,-1
,Nebraska,31,-1,1796378,-1
,Nevada,32,-1,2653630,-1
,New Hampshire,33,-1,1315906,-1
,New Jersey,34,-1,8711090,-1
,New Mexico,35,-1,2010662,-1
,New York,36,-1,19212436,-1
,North Carolina,37,-1,9309449,-1
,North Dakota,38,-1,657569,-1
,Ohio,39,-1,11515391,-1
,Oklahoma,40,-1,3668976,-1
,Oregon,41,-1,3768748,-1
,Pennsylvania,42,13,12612285,-1
,Rhode Island,44,-1,1055003,-1
,South Carolina,45,-1,4528996,-1
,South Dakota,46,-1,799124,-1
,Tennessee,47,-1,6247411,-1
,Texas,48,24,24309039,0.1
,Utah,49,-1,2663029,-1
,Vermont,50,-1,624151,-1
,Virginia,51,11,7833496,-1
,Washington,53,-1,6562231,-1
,West Virginia,54,-1,1840310,-1
,Wisconsin,55,-1,5640996,-1
,Wyoming,56,-1,546043,-1
Total,,,326,304093966,0.1
---,,,,,
"Dataset: Multiple Cause of Death, 1999-2018",,,,,
Query Parameters:,,,,,
UCD - Injury Intent: Legal Intervention / Operations of War,,,,,
UCD - Injury Mechanism & All Other Leading Causes: Firearm,,,,,
Year/Month: 2008,,,,,
Group By: State,,,,,
Show Totals: True,,,,,
Show Zero Values: False,,,,,
Show -1: True,,,,,
"Calculate Rates Per: 100,000",,,,,
Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups),,,,,
---,,,,,
Help: See http://wonder.cdc.gov/wonder/help/mcd.html for more information.,,,,,
---,,,,,
"Query Date: May 23, 2020 2:41:58 AM",,,,,
---,,,,,
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Multiple Cause of Death",,,,,
"1999-2018 on CDC WONDER Online Database, released in 2020. Data are from the Multiple Cause of Death Files, 1999-2018, as",,,,,
compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed,,,,,
"at http://wonder.cdc.gov/mcd-icd10.html on May 23, 2020 2:41:58 AM",,,,,
---,,,,,
Caveats:,,,,,
1. Circumstances in Georgia for the years 2008 and 2009 have resulted in unusually high death counts for the ICD-10 cause of,,,,,
"death code R99, ""Other ill-defined and unspecified causes of mortality."" Caution should be used in interpreting these data.",,,,,
More information: http://wonder.cdc.gov/wonder/help/mcd.html#Georgia-Reporting-Anomalies.,,,,,
2. Data are -1 when the data meet the criteria for confidentiality constraints. More information:,,,,,
http://wonder.cdc.gov/wonder/help/mcd.html#Assurance of Confidentiality.,,,,,
3. Death rates are flagged as -1 when the rate is calculated with a numerator of 20 or less. More information:,,,,,
http://wonder.cdc.gov/wonder/help/mcd.html#-1.,,,,,
"4. The population figures for year 2018 are bridged-race estimates of the July 1 resident population, from the Vintage 2018",,,,,
"postcensal series released by NCHS on June 25, 2019. The population figures for year 2017 are bridged-race estimates of the July",,,,,
"1 resident population, from the Vintage 2017 postcensal series released by NCHS on June 27, 2018. The population figures for",,,,,
"year 2016 are bridged-race estimates of the July 1 resident population, from the Vintage 2016 postcensal series released by NCHS",,,,,
"on June 26, 2017. The population figures for year 2015 are bridged-race estimates of the July 1 resident population, from the",,,,,
"Vintage 2015 postcensal series released by NCHS on June 28, 2016. The population figures for year 2014 are bridged-race",,,,,
"estimates of the July 1 resident population, from the Vintage 2014 postcensal series released by NCHS on June 30, 2015. The",,,,,
"population figures for year 2013 are bridged-race estimates of the July 1 resident population, from the Vintage 2013 postcensal",,,,,
"series released by NCHS on June 26, 2014. The population figures for year 2012 are bridged-race estimates of the July 1 resident",,,,,
"population, from the Vintage 2012 postcensal series released by NCHS on June 13, 2013. Population figures for 2011 are",,,,,
"bridged-race estimates of the July 1 resident population, from the county-level postcensal Vintage 2011 series released by NCHS",,,,,
"on July 18, 2012. Population figures for 2010 are April 1 Census counts. The population figures for years 2001 - 2009, are",,,,,
"bridged-race estimates of the July 1 resident population, from the revised intercensal county-level 2000 - 2009 series released",,,,,
"by NCHS on October 26, 2012. Population figures for 2000 are April 1 Census counts. Population figures for 1999 are from the",,,,,
1990-1999 intercensal series of July 1 estimates. Population figures for Infant Age Groups are the number of live births.,,,,,
"<br/><b>Note:</b> Rates and population figures for years 2001 - 2009 differ slightly from previously published reports, due to",,,,,
use of the population estimates which were available at the time of release.,,,,,
5. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the,,,,,
resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/mcd.html#Age Group.,,,,,
