Notes,State,State Code,Deaths,Population,Crude Rate
,Alabama,1,375,4530729,8.3
,Alaska,2,94,659286,14.3
,Arizona,4,509,5652404,9
,Arkansas,5,232,2749686,8.4
,California,6,1366,35574576,3.8
,Colorado,8,402,4575013,8.8
,Connecticut,9,105,3496094,3
,Delaware,10,45,830803,5.4
,District of Columbia,11,-1,567754,-1
,Florida,12,1197,17415318,6.9
,Georgia,13,605,8769252,6.9
,Hawaii,15,31,1273569,2.4
,Idaho,16,151,1391802,10.8
,Illinois,17,387,12589773,3.1
,Indiana,18,385,6233007,6.2
,Iowa,19,155,2953635,5.2
,Kansas,20,204,2734373,7.5
,Kentucky,21,377,4146101,9.1
,Louisiana,22,371,4552238,8.1
,Maine,23,97,1313688,7.4
,Maryland,24,250,5546935,4.5
,Massachusetts,25,95,6412281,1.5
,Michigan,26,532,10055315,5.3
,Minnesota,27,268,5087713,5.3
,Mississippi,28,245,2889010,8.5
,Missouri,29,389,5747741,6.8
,Montana,30,105,930009,11.3
,Nebraska,31,87,1749370,5
,Nevada,32,249,2346222,10.6
,New Hampshire,33,57,1290121,4.4
,New Jersey,34,185,8634561,2.1
,New Mexico,35,196,1903808,10.3
,New York,36,401,19171567,2.1
,North Carolina,37,608,8553152,7.1
,North Dakota,38,41,644705,6.4
,Ohio,39,657,11452251,5.7
,Oklahoma,40,312,3525233,8.9
,Oregon,41,299,3569463,8.4
,Pennsylvania,42,722,12410722,5.8
,Rhode Island,44,22,1074579,2
,South Carolina,45,328,4210921,7.8
,South Dakota,46,61,770396,7.9
,Tennessee,47,526,5910809,8.9
,Texas,48,1318,22394023,5.9
,Utah,49,183,2401580,7.6
,Vermont,50,56,619920,9
,Virginia,51,494,7475575,6.6
,Washington,53,423,6178645,6.8
,West Virginia,54,192,1816438,10.6
,Wisconsin,55,308,5514026,5.6
,Wyoming,56,48,509106,9.4
---,,,,,
"Dataset: Multiple Cause of Death, 1999-2018",,,,,
Query Parameters:,,,,,
UCD - Injury Intent: Suicide,,,,,
UCD - Injury Mechanism & All Other Leading Causes: Firearm,,,,,
Year/Month: 2004,,,,,
Group By: State,,,,,
Show Totals: Disabled,,,,,
Show Zero Values: False,,,,,
Show -1: True,,,,,
"Calculate Rates Per: 100,000",,,,,
Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups),,,,,
---,,,,,
Help: See http://wonder.cdc.gov/wonder/help/mcd.html for more information.,,,,,
---,,,,,
"Query Date: May 23, 2020 12:37:30 AM",,,,,
---,,,,,
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Multiple Cause of Death",,,,,
"1999-2018 on CDC WONDER Online Database, released in 2020. Data are from the Multiple Cause of Death Files, 1999-2018, as",,,,,
compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed,,,,,
"at http://wonder.cdc.gov/mcd-icd10.html on May 23, 2020 12:37:30 AM",,,,,
---,,,,,
Messages:,,,,,
1. Totals are not available for these results due to suppression constraints. More Information:,,,,,
http://wonder.cdc.gov/wonder/help/faq.html#Privacy.,,,,,
---,,,,,
Caveats:,,,,,
1. Data are -1 when the data meet the criteria for confidentiality constraints. More information:,,,,,
http://wonder.cdc.gov/wonder/help/mcd.html#Assurance of Confidentiality.,,,,,
"2. The population figures for year 2018 are bridged-race estimates of the July 1 resident population, from the Vintage 2018",,,,,
"postcensal series released by NCHS on June 25, 2019. The population figures for year 2017 are bridged-race estimates of the July",,,,,
"1 resident population, from the Vintage 2017 postcensal series released by NCHS on June 27, 2018. The population figures for",,,,,
"year 2016 are bridged-race estimates of the July 1 resident population, from the Vintage 2016 postcensal series released by NCHS",,,,,
"on June 26, 2017. The population figures for year 2015 are bridged-race estimates of the July 1 resident population, from the",,,,,
"Vintage 2015 postcensal series released by NCHS on June 28, 2016. The population figures for year 2014 are bridged-race",,,,,
"estimates of the July 1 resident population, from the Vintage 2014 postcensal series released by NCHS on June 30, 2015. The",,,,,
"population figures for year 2013 are bridged-race estimates of the July 1 resident population, from the Vintage 2013 postcensal",,,,,
"series released by NCHS on June 26, 2014. The population figures for year 2012 are bridged-race estimates of the July 1 resident",,,,,
"population, from the Vintage 2012 postcensal series released by NCHS on June 13, 2013. Population figures for 2011 are",,,,,
"bridged-race estimates of the July 1 resident population, from the county-level postcensal Vintage 2011 series released by NCHS",,,,,
"on July 18, 2012. Population figures for 2010 are April 1 Census counts. The population figures for years 2001 - 2009, are",,,,,
"bridged-race estimates of the July 1 resident population, from the revised intercensal county-level 2000 - 2009 series released",,,,,
"by NCHS on October 26, 2012. Population figures for 2000 are April 1 Census counts. Population figures for 1999 are from the",,,,,
1990-1999 intercensal series of July 1 estimates. Population figures for Infant Age Groups are the number of live births.,,,,,
"<br/><b>Note:</b> Rates and population figures for years 2001 - 2009 differ slightly from previously published reports, due to",,,,,
use of the population estimates which were available at the time of release.,,,,,
3. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the,,,,,
resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/mcd.html#Age Group.,,,,,
