Notes,State,State Code,Deaths,Population,Crude Rate
,Alabama,1,452,4802740,9.4
,Alaska,2,99,722718,13.7
,Arizona,4,674,6482505,10.4
,Arkansas,5,299,2937979,10.2
,California,6,1564,37691912,4.1
,Colorado,8,443,5116796,8.7
,Connecticut,9,111,3580709,3.1
,Delaware,10,46,907135,5.1
,District of Columbia,11,-1,617996,-1
,Florida,12,1490,19057542,7.8
,Georgia,13,742,9815210,7.6
,Hawaii,15,42,1374810,3.1
,Idaho,16,167,1584985,10.5
,Illinois,17,461,12869257,3.6
,Indiana,18,411,6516922,6.3
,Iowa,19,185,3062309,6
,Kansas,20,233,2871238,8.1
,Kentucky,21,453,4369356,10.4
,Louisiana,22,377,4574836,8.2
,Maine,23,113,1328188,8.5
,Maryland,24,242,5828289,4.2
,Massachusetts,25,116,6587536,1.8
,Michigan,26,619,9876187,6.3
,Minnesota,27,322,5344861,6
,Mississippi,28,268,2978512,9
,Missouri,29,513,6010688,8.5
,Montana,30,152,998199,15.2
,Nebraska,31,111,1842641,6
,Nevada,32,272,2723322,10
,New Hampshire,33,75,1318194,5.7
,New Jersey,34,181,8821155,2.1
,New Mexico,35,221,2082224,10.6
,New York,36,505,19465197,2.6
,North Carolina,37,728,9656401,7.5
,North Dakota,38,51,683932,7.5
,Ohio,39,726,11544951,6.3
,Oklahoma,40,440,3791508,11.6
,Oregon,41,343,3871859,8.9
,Pennsylvania,42,883,12742886,6.9
,Rhode Island,44,20,1051302,1.9
,South Carolina,45,426,4679230,9.1
,South Dakota,46,60,824082,7.3
,Tennessee,47,591,6403353,9.2
,Texas,48,1684,25674681,6.6
,Utah,49,268,2817222,9.5
,Vermont,50,70,626431,11.2
,Virginia,51,604,8096604,7.5
,Washington,53,495,6830038,7.2
,West Virginia,54,200,1855364,10.8
,Wisconsin,55,351,5711767,6.1
,Wyoming,56,84,568158,14.8
---,,,,,
"Dataset: Multiple Cause of Death, 1999-2018",,,,,
Query Parameters:,,,,,
UCD - Injury Intent: Suicide,,,,,
UCD - Injury Mechanism & All Other Leading Causes: Firearm,,,,,
Year/Month: 2011,,,,,
Group By: State,,,,,
Show Totals: Disabled,,,,,
Show Zero Values: False,,,,,
Show -1: True,,,,,
"Calculate Rates Per: 100,000",,,,,
Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups),,,,,
---,,,,,
Help: See http://wonder.cdc.gov/wonder/help/mcd.html for more information.,,,,,
---,,,,,
"Query Date: May 23, 2020 12:43:19 AM",,,,,
---,,,,,
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Multiple Cause of Death",,,,,
"1999-2018 on CDC WONDER Online Database, released in 2020. Data are from the Multiple Cause of Death Files, 1999-2018, as",,,,,
compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed,,,,,
"at http://wonder.cdc.gov/mcd-icd10.html on May 23, 2020 12:43:19 AM",,,,,
---,,,,,
Messages:,,,,,
1. Totals are not available for these results due to suppression constraints. More Information:,,,,,
http://wonder.cdc.gov/wonder/help/faq.html#Privacy.,,,,,
---,,,,,
Caveats:,,,,,
1. Data are -1 when the data meet the criteria for confidentiality constraints. More information:,,,,,
http://wonder.cdc.gov/wonder/help/mcd.html#Assurance of Confidentiality.,,,,,
"2. The population figures for year 2018 are bridged-race estimates of the July 1 resident population, from the Vintage 2018",,,,,
"postcensal series released by NCHS on June 25, 2019. The population figures for year 2017 are bridged-race estimates of the July",,,,,
"1 resident population, from the Vintage 2017 postcensal series released by NCHS on June 27, 2018. The population figures for",,,,,
"year 2016 are bridged-race estimates of the July 1 resident population, from the Vintage 2016 postcensal series released by NCHS",,,,,
"on June 26, 2017. The population figures for year 2015 are bridged-race estimates of the July 1 resident population, from the",,,,,
"Vintage 2015 postcensal series released by NCHS on June 28, 2016. The population figures for year 2014 are bridged-race",,,,,
"estimates of the July 1 resident population, from the Vintage 2014 postcensal series released by NCHS on June 30, 2015. The",,,,,
"population figures for year 2013 are bridged-race estimates of the July 1 resident population, from the Vintage 2013 postcensal",,,,,
"series released by NCHS on June 26, 2014. The population figures for year 2012 are bridged-race estimates of the July 1 resident",,,,,
"population, from the Vintage 2012 postcensal series released by NCHS on June 13, 2013. Population figures for 2011 are",,,,,
"bridged-race estimates of the July 1 resident population, from the county-level postcensal Vintage 2011 series released by NCHS",,,,,
"on July 18, 2012. Population figures for 2010 are April 1 Census counts. The population figures for years 2001 - 2009, are",,,,,
"bridged-race estimates of the July 1 resident population, from the revised intercensal county-level 2000 - 2009 series released",,,,,
"by NCHS on October 26, 2012. Population figures for 2000 are April 1 Census counts. Population figures for 1999 are from the",,,,,
1990-1999 intercensal series of July 1 estimates. Population figures for Infant Age Groups are the number of live births.,,,,,
"<br/><b>Note:</b> Rates and population figures for years 2001 - 2009 differ slightly from previously published reports, due to",,,,,
use of the population estimates which were available at the time of release.,,,,,
3. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the,,,,,
resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/mcd.html#Age Group.,,,,,
