Notes,State,State Code,Deaths,Population,Crude Rate
,Alabama,1,573,4874747,11.8
,Alaska,2,119,739795,16.1
,Arizona,4,792,7016270,11.3
,Arkansas,5,392,3004279,13
,California,6,1610,39536653,4.1
,Colorado,8,592,5607154,10.6
,Connecticut,9,109,3588184,3
,Delaware,10,50,961939,5.2
,District of Columbia,11,-1,693972,-1
,Florida,12,1723,20984400,8.2
,Georgia,13,908,10429379,8.7
,Hawaii,15,30,1427538,2.1
,Idaho,16,244,1716943,14.2
,Illinois,17,577,12802023,4.5
,Indiana,18,604,6666818,9.1
,Iowa,19,222,3145711,7.1
,Kansas,20,316,2913123,10.8
,Kentucky,21,470,4454189,10.6
,Louisiana,22,444,4684333,9.5
,Maine,23,151,1335907,11.3
,Maryland,24,271,6052177,4.5
,Massachusetts,25,152,6859819,2.2
,Michigan,26,682,9962311,6.8
,Minnesota,27,365,5576606,6.5
,Mississippi,28,295,2984100,9.9
,Missouri,29,701,6113532,11.5
,Montana,30,213,1050493,20.3
,Nebraska,31,126,1920076,6.6
,Nevada,32,329,2998039,11
,New Hampshire,33,132,1342795,9.8
,New Jersey,34,204,9005644,2.3
,New Mexico,35,261,2088070,12.5
,New York,36,433,19849399,2.2
,North Carolina,37,840,10273419,8.2
,North Dakota,38,93,755393,12.3
,Ohio,39,918,11658609,7.9
,Oklahoma,40,439,3930864,11.2
,Oregon,41,439,4142776,10.6
,Pennsylvania,42,993,12805537,7.8
,Rhode Island,44,33,1059639,3.1
,South Carolina,45,531,5024369,10.6
,South Dakota,46,83,869666,9.5
,Tennessee,47,711,6715984,10.6
,Texas,48,2158,28304596,7.6
,Utah,49,344,3101833,11.1
,Vermont,50,62,623657,9.9
,Virginia,51,672,8470020,7.9
,Washington,53,639,7405743,8.6
,West Virginia,54,267,1815857,14.7
,Wisconsin,55,435,5795483,7.5
,Wyoming,56,99,579315,17.1
---,,,,,
"Dataset: Multiple Cause of Death, 1999-2018",,,,,
Query Parameters:,,,,,
UCD - Injury Intent: Suicide,,,,,
UCD - Injury Mechanism & All Other Leading Causes: Firearm,,,,,
Year/Month: 2017,,,,,
Group By: State,,,,,
Show Totals: Disabled,,,,,
Show Zero Values: False,,,,,
Show -1: True,,,,,
"Calculate Rates Per: 100,000",,,,,
Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups),,,,,
---,,,,,
Help: See http://wonder.cdc.gov/wonder/help/mcd.html for more information.,,,,,
---,,,,,
"Query Date: May 23, 2020 12:45:29 AM",,,,,
---,,,,,
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Multiple Cause of Death",,,,,
"1999-2018 on CDC WONDER Online Database, released in 2020. Data are from the Multiple Cause of Death Files, 1999-2018, as",,,,,
compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed,,,,,
"at http://wonder.cdc.gov/mcd-icd10.html on May 23, 2020 12:45:29 AM",,,,,
---,,,,,
Messages:,,,,,
1. Totals are not available for these results due to suppression constraints. More Information:,,,,,
http://wonder.cdc.gov/wonder/help/faq.html#Privacy.,,,,,
---,,,,,
Caveats:,,,,,
1. Data are -1 when the data meet the criteria for confidentiality constraints. More information:,,,,,
http://wonder.cdc.gov/wonder/help/mcd.html#Assurance of Confidentiality.,,,,,
"2. The population figures for year 2018 are bridged-race estimates of the July 1 resident population, from the Vintage 2018",,,,,
"postcensal series released by NCHS on June 25, 2019. The population figures for year 2017 are bridged-race estimates of the July",,,,,
"1 resident population, from the Vintage 2017 postcensal series released by NCHS on June 27, 2018. The population figures for",,,,,
"year 2016 are bridged-race estimates of the July 1 resident population, from the Vintage 2016 postcensal series released by NCHS",,,,,
"on June 26, 2017. The population figures for year 2015 are bridged-race estimates of the July 1 resident population, from the",,,,,
"Vintage 2015 postcensal series released by NCHS on June 28, 2016. The population figures for year 2014 are bridged-race",,,,,
"estimates of the July 1 resident population, from the Vintage 2014 postcensal series released by NCHS on June 30, 2015. The",,,,,
"population figures for year 2013 are bridged-race estimates of the July 1 resident population, from the Vintage 2013 postcensal",,,,,
"series released by NCHS on June 26, 2014. The population figures for year 2012 are bridged-race estimates of the July 1 resident",,,,,
"population, from the Vintage 2012 postcensal series released by NCHS on June 13, 2013. Population figures for 2011 are",,,,,
"bridged-race estimates of the July 1 resident population, from the county-level postcensal Vintage 2011 series released by NCHS",,,,,
"on July 18, 2012. Population figures for 2010 are April 1 Census counts. The population figures for years 2001 - 2009, are",,,,,
"bridged-race estimates of the July 1 resident population, from the revised intercensal county-level 2000 - 2009 series released",,,,,
"by NCHS on October 26, 2012. Population figures for 2000 are April 1 Census counts. Population figures for 1999 are from the",,,,,
1990-1999 intercensal series of July 1 estimates. Population figures for Infant Age Groups are the number of live births.,,,,,
"<br/><b>Note:</b> Rates and population figures for years 2001 - 2009 differ slightly from previously published reports, due to",,,,,
use of the population estimates which were available at the time of release.,,,,,
3. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the,,,,,
resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/mcd.html#Age Group.,,,,,
