Notes,State,State Code,Deaths,Population,Crude Rate
,Alabama,1,333,4628981,7.2
,Alaska,2,28,675302,4.1
,Arizona,4,387,6029141,6.4
,Arkansas,5,155,2821761,5.5
,California,6,1883,36021202,5.2
,Colorado,8,104,4720423,2.2
,Connecticut,9,92,3517460,2.6
,Delaware,10,34,859268,4
,District of Columbia,11,120,570681,21
,Florida,12,803,18166990,4.4
,Georgia,13,495,9155813,5.4
,Hawaii,15,-1,1309731,-1
,Idaho,16,24,1468669,1.6
,Illinois,17,625,12643955,4.9
,Indiana,18,264,6332669,4.2
,Iowa,19,38,2982644,1.3
,Kansas,20,73,2762931,2.6
,Kentucky,21,111,4219239,2.6
,Louisiana,22,443,4302665,10.3
,Maine,23,15,1323619,-1
,Maryland,24,416,5627367,7.4
,Massachusetts,25,105,6410084,1.6
,Michigan,26,536,10036081,5.3
,Minnesota,27,78,5163555,1.5
,Mississippi,28,222,2904978,7.6
,Missouri,29,295,5842704,5
,Montana,30,11,952692,-1
,Nebraska,31,31,1772693,1.7
,Nevada,32,131,2522658,5.2
,New Hampshire,33,12,1308389,-1
,New Jersey,34,301,8661679,3.5
,New Mexico,35,73,1962137,3.7
,New York,36,570,19104631,3
,North Carolina,37,439,8917270,4.9
,North Dakota,38,-1,649422,-1
,Ohio,39,451,11481213,3.9
,Oklahoma,40,152,3594090,4.2
,Oregon,41,63,3670883,1.7
,Pennsylvania,42,593,12510809,4.7
,Rhode Island,44,19,1063096,-1
,South Carolina,45,274,4357847,6.3
,South Dakota,46,-1,783033,-1
,Tennessee,47,330,6088766,5.4
,Texas,48,1033,23359580,4.4
,Utah,49,29,2525507,1.1
,Vermont,50,-1,622892,-1
,Virginia,51,284,7673725,3.7
,Washington,53,123,6370753,1.9
,West Virginia,54,57,1827912,3.1
,Wisconsin,55,110,5577655,2
,Wyoming,56,-1,522667,-1
Total,,,12791,298379912,4.3
---,,,,,
"Dataset: Multiple Cause of Death, 1999-2018",,,,,
Query Parameters:,,,,,
UCD - Injury Intent: Homicide,,,,,
UCD - Injury Mechanism & All Other Leading Causes: Firearm,,,,,
Year/Month: 2006,,,,,
Group By: State,,,,,
Show Totals: True,,,,,
Show Zero Values: False,,,,,
Show -1: True,,,,,
"Calculate Rates Per: 100,000",,,,,
Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups),,,,,
---,,,,,
Help: See http://wonder.cdc.gov/wonder/help/mcd.html for more information.,,,,,
---,,,,,
"Query Date: May 23, 2020 2:24:43 AM",,,,,
---,,,,,
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Multiple Cause of Death",,,,,
"1999-2018 on CDC WONDER Online Database, released in 2020. Data are from the Multiple Cause of Death Files, 1999-2018, as",,,,,
compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed,,,,,
"at http://wonder.cdc.gov/mcd-icd10.html on May 23, 2020 2:24:43 AM",,,,,
---,,,,,
Caveats:,,,,,
1. Data are -1 when the data meet the criteria for confidentiality constraints. More information:,,,,,
http://wonder.cdc.gov/wonder/help/mcd.html#Assurance of Confidentiality.,,,,,
2. Death rates are flagged as -1 when the rate is calculated with a numerator of 20 or less. More information:,,,,,
http://wonder.cdc.gov/wonder/help/mcd.html#-1.,,,,,
"3. The population figures for year 2018 are bridged-race estimates of the July 1 resident population, from the Vintage 2018",,,,,
"postcensal series released by NCHS on June 25, 2019. The population figures for year 2017 are bridged-race estimates of the July",,,,,
"1 resident population, from the Vintage 2017 postcensal series released by NCHS on June 27, 2018. The population figures for",,,,,
"year 2016 are bridged-race estimates of the July 1 resident population, from the Vintage 2016 postcensal series released by NCHS",,,,,
"on June 26, 2017. The population figures for year 2015 are bridged-race estimates of the July 1 resident population, from the",,,,,
"Vintage 2015 postcensal series released by NCHS on June 28, 2016. The population figures for year 2014 are bridged-race",,,,,
"estimates of the July 1 resident population, from the Vintage 2014 postcensal series released by NCHS on June 30, 2015. The",,,,,
"population figures for year 2013 are bridged-race estimates of the July 1 resident population, from the Vintage 2013 postcensal",,,,,
"series released by NCHS on June 26, 2014. The population figures for year 2012 are bridged-race estimates of the July 1 resident",,,,,
"population, from the Vintage 2012 postcensal series released by NCHS on June 13, 2013. Population figures for 2011 are",,,,,
"bridged-race estimates of the July 1 resident population, from the county-level postcensal Vintage 2011 series released by NCHS",,,,,
"on July 18, 2012. Population figures for 2010 are April 1 Census counts. The population figures for years 2001 - 2009, are",,,,,
"bridged-race estimates of the July 1 resident population, from the revised intercensal county-level 2000 - 2009 series released",,,,,
"by NCHS on October 26, 2012. Population figures for 2000 are April 1 Census counts. Population figures for 1999 are from the",,,,,
1990-1999 intercensal series of July 1 estimates. Population figures for Infant Age Groups are the number of live births.,,,,,
"<br/><b>Note:</b> Rates and population figures for years 2001 - 2009 differ slightly from previously published reports, due to",,,,,
use of the population estimates which were available at the time of release.,,,,,
4. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the,,,,,
resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/mcd.html#Age Group.,,,,,
