Notes,State,State Code,Deaths,Population,Crude Rate
,Alabama,1,812,4672840,17.4
,Alaska,2,120,680300,17.6
,Arizona,4,951,6167681,15.4
,Arkansas,5,426,2848650,15
,California,6,3268,36250311,9
,Colorado,8,505,4803868,10.5
,Connecticut,9,149,3527270,4.2
,Delaware,10,79,871749,9.1
,District of Columbia,11,144,574404,25.1
,Florida,12,2272,18367842,12.4
,Georgia,13,1244,9349988,13.3
,Hawaii,15,36,1315675,2.7
,Idaho,16,187,1505105,12.4
,Illinois,17,1032,12695866,8.1
,Indiana,18,670,6379599,10.5
,Iowa,19,157,2999212,5.2
,Kansas,20,292,2783785,10.5
,Kentucky,21,612,4256672,14.4
,Louisiana,22,869,4375581,19.9
,Maine,23,107,1327040,8.1
,Maryland,24,678,5653408,12
,Massachusetts,25,235,6431559,3.7
,Michigan,26,1095,10001284,10.9
,Minnesota,27,344,5207203,6.6
,Mississippi,28,535,2928350,18.3
,Missouri,29,759,5887612,12.9
,Montana,30,139,964706,14.4
,Nebraska,31,142,1783440,8
,Nevada,32,414,2601072,15.9
,New Hampshire,33,78,1312540,5.9
,New Jersey,34,446,8677885,5.1
,New Mexico,35,295,1990070,14.8
,New York,36,985,19132335,5.1
,North Carolina,37,1116,9118037,12.2
,North Dakota,38,57,652822,8.7
,Ohio,39,1105,11500468,9.6
,Oklahoma,40,482,3634349,13.3
,Oregon,41,387,3722417,10.4
,Pennsylvania,42,1325,12563937,10.5
,Rhode Island,44,37,1057315,3.5
,South Carolina,45,592,4444110,13.3
,South Dakota,46,52,791623,6.6
,Tennessee,47,924,6175727,15
,Texas,48,2561,23831983,10.7
,Utah,49,253,2597746,9.7
,Vermont,50,52,623481,8.3
,Virginia,51,825,7751000,10.6
,Washington,53,548,6461587,8.5
,West Virginia,54,267,1834052,14.6
,Wisconsin,55,488,5610775,8.7
,Wyoming,56,76,534876,14.2
Total,,,31224,301231207,10.4
---,,,,,
"Dataset: Multiple Cause of Death, 1999-2018",,,,,
Query Parameters:,,,,,
UCD - Injury Mechanism & All Other Leading Causes: Firearm,,,,,
Year/Month: 2007,,,,,
Group By: State,,,,,
Show Totals: True,,,,,
Show Zero Values: False,,,,,
Show Suppressed: True,,,,,
"Calculate Rates Per: 100,000",,,,,
Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups),,,,,
---,,,,,
Help: See http://wonder.cdc.gov/wonder/help/mcd.html for more information.,,,,,
---,,,,,
"Query Date: May 22, 2020 6:24:27 PM",,,,,
---,,,,,
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Multiple Cause of Death",,,,,
"1999-2018 on CDC WONDER Online Database, released in 2020. Data are from the Multiple Cause of Death Files, 1999-2018, as",,,,,
compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed,,,,,
"at http://wonder.cdc.gov/mcd-icd10.html on May 22, 2020 6:24:27 PM",,,,,
---,,,,,
Caveats:,,,,,
"1. The population figures for year 2018 are bridged-race estimates of the July 1 resident population, from the Vintage 2018",,,,,
"postcensal series released by NCHS on June 25, 2019. The population figures for year 2017 are bridged-race estimates of the July",,,,,
"1 resident population, from the Vintage 2017 postcensal series released by NCHS on June 27, 2018. The population figures for",,,,,
"year 2016 are bridged-race estimates of the July 1 resident population, from the Vintage 2016 postcensal series released by NCHS",,,,,
"on June 26, 2017. The population figures for year 2015 are bridged-race estimates of the July 1 resident population, from the",,,,,
"Vintage 2015 postcensal series released by NCHS on June 28, 2016. The population figures for year 2014 are bridged-race",,,,,
"estimates of the July 1 resident population, from the Vintage 2014 postcensal series released by NCHS on June 30, 2015. The",,,,,
"population figures for year 2013 are bridged-race estimates of the July 1 resident population, from the Vintage 2013 postcensal",,,,,
"series released by NCHS on June 26, 2014. The population figures for year 2012 are bridged-race estimates of the July 1 resident",,,,,
"population, from the Vintage 2012 postcensal series released by NCHS on June 13, 2013. Population figures for 2011 are",,,,,
"bridged-race estimates of the July 1 resident population, from the county-level postcensal Vintage 2011 series released by NCHS",,,,,
"on July 18, 2012. Population figures for 2010 are April 1 Census counts. The population figures for years 2001 - 2009, are",,,,,
"bridged-race estimates of the July 1 resident population, from the revised intercensal county-level 2000 - 2009 series released",,,,,
"by NCHS on October 26, 2012. Population figures for 2000 are April 1 Census counts. Population figures for 1999 are from the",,,,,
1990-1999 intercensal series of July 1 estimates. Population figures for Infant Age Groups are the number of live births.,,,,,
"<br/><b>Note:</b> Rates and population figures for years 2001 - 2009 differ slightly from previously published reports, due to",,,,,
use of the population estimates which were available at the time of release.,,,,,
2. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the,,,,,
resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/mcd.html#Age Group.,,,,,
