Notes,State,State Code,Deaths,Population,Crude Rate
,Alabama,1,830,4757938,17.4
,Alaska,2,104,698895,14.9
,Arizona,4,856,6343154,13.5
,Arkansas,5,465,2896843,16.1
,California,6,3094,36961229,8.4
,Colorado,8,583,4972195,11.7
,Connecticut,9,173,3561807,4.9
,Delaware,10,76,891730,8.5
,District of Columbia,11,111,592228,18.7
,Florida,12,2324,18652644,12.5
,Georgia,13,1247,9620846,13
,Hawaii,15,47,1346717,3.5
,Idaho,16,196,1554439,12.6
,Illinois,17,1058,12796778,8.3
,Indiana,18,735,6459325,11.4
,Iowa,19,193,3032870,6.4
,Kansas,20,303,2832704,10.7
,Kentucky,21,560,4317074,13
,Louisiana,22,810,4491648,18
,Maine,23,122,1329590,9.2
,Maryland,24,586,5730388,10.2
,Massachusetts,25,207,6517613,3.2
,Michigan,26,1095,9901591,11.1
,Minnesota,27,336,5281203,6.4
,Mississippi,28,487,2958774,16.5
,Missouri,29,822,5961088,13.8
,Montana,30,166,983982,16.9
,Nebraska,31,132,1812683,7.3
,Nevada,32,406,2684665,15.1
,New Hampshire,33,89,1316102,6.8
,New Jersey,34,411,8755602,4.7
,New Mexico,35,299,2036802,14.7
,New York,36,958,19307066,5
,North Carolina,37,1112,9449566,11.8
,North Dakota,38,59,664968,8.9
,Ohio,39,991,11528896,8.6
,Oklahoma,40,533,3717572,14.3
,Oregon,41,417,3808600,10.9
,Pennsylvania,42,1349,12666858,10.6
,Rhode Island,44,56,1053646,5.3
,South Carolina,45,634,4589872,13.8
,South Dakota,46,75,807067,9.3
,Tennessee,47,966,6306019,15.3
,Texas,48,2691,24801761,10.9
,Utah,49,260,2723421,9.5
,Vermont,50,60,624817,9.6
,Virginia,51,836,7925937,10.5
,Washington,53,623,6667426,9.3
,West Virginia,54,251,1847775,13.6
,Wisconsin,55,457,5669264,8.1
,Wyoming,56,96,559851,17.1
Total,,,31347,306771529,10.2
---,,,,,
"Dataset: Multiple Cause of Death, 1999-2018",,,,,
Query Parameters:,,,,,
UCD - Injury Mechanism & All Other Leading Causes: Firearm,,,,,
Year/Month: 2009,,,,,
Group By: State,,,,,
Show Totals: True,,,,,
Show Zero Values: False,,,,,
Show Suppressed: True,,,,,
"Calculate Rates Per: 100,000",,,,,
Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups),,,,,
---,,,,,
Help: See http://wonder.cdc.gov/wonder/help/mcd.html for more information.,,,,,
---,,,,,
"Query Date: May 22, 2020 6:25:09 PM",,,,,
---,,,,,
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Multiple Cause of Death",,,,,
"1999-2018 on CDC WONDER Online Database, released in 2020. Data are from the Multiple Cause of Death Files, 1999-2018, as",,,,,
compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed,,,,,
"at http://wonder.cdc.gov/mcd-icd10.html on May 22, 2020 6:25:09 PM",,,,,
---,,,,,
Caveats:,,,,,
1. Circumstances in Georgia for the years 2008 and 2009 have resulted in unusually high death counts for the ICD-10 cause of,,,,,
"death code R99, ""Other ill-defined and unspecified causes of mortality."" Caution should be used in interpreting these data.",,,,,
More information: http://wonder.cdc.gov/wonder/help/mcd.html#Georgia-Reporting-Anomalies.,,,,,
2. Circumstances in New Jersey for the year 2009 have resulted in unusually high death counts for the ICD-10 cause of death code,,,,,
"R99, ""Other ill-defined and unspecified causes of mortality"" and therefore unusually low death counts in other ICD-10 codes,",,,,,
"most notably R95, ""Sudden Infant Death Syndrome"" and X40-X49, ""Unintentional poisoning."" Caution should be used in",,,,,
interpreting these data. More information: http://wonder.cdc.gov/wonder/help/mcd.html#New-Jersey-Reporting-Anomalies.,,,,,
"3. The population figures for year 2018 are bridged-race estimates of the July 1 resident population, from the Vintage 2018",,,,,
"postcensal series released by NCHS on June 25, 2019. The population figures for year 2017 are bridged-race estimates of the July",,,,,
"1 resident population, from the Vintage 2017 postcensal series released by NCHS on June 27, 2018. The population figures for",,,,,
"year 2016 are bridged-race estimates of the July 1 resident population, from the Vintage 2016 postcensal series released by NCHS",,,,,
"on June 26, 2017. The population figures for year 2015 are bridged-race estimates of the July 1 resident population, from the",,,,,
"Vintage 2015 postcensal series released by NCHS on June 28, 2016. The population figures for year 2014 are bridged-race",,,,,
"estimates of the July 1 resident population, from the Vintage 2014 postcensal series released by NCHS on June 30, 2015. The",,,,,
"population figures for year 2013 are bridged-race estimates of the July 1 resident population, from the Vintage 2013 postcensal",,,,,
"series released by NCHS on June 26, 2014. The population figures for year 2012 are bridged-race estimates of the July 1 resident",,,,,
"population, from the Vintage 2012 postcensal series released by NCHS on June 13, 2013. Population figures for 2011 are",,,,,
"bridged-race estimates of the July 1 resident population, from the county-level postcensal Vintage 2011 series released by NCHS",,,,,
"on July 18, 2012. Population figures for 2010 are April 1 Census counts. The population figures for years 2001 - 2009, are",,,,,
"bridged-race estimates of the July 1 resident population, from the revised intercensal county-level 2000 - 2009 series released",,,,,
"by NCHS on October 26, 2012. Population figures for 2000 are April 1 Census counts. Population figures for 1999 are from the",,,,,
1990-1999 intercensal series of July 1 estimates. Population figures for Infant Age Groups are the number of live births.,,,,,
"<br/><b>Note:</b> Rates and population figures for years 2001 - 2009 differ slightly from previously published reports, due to",,,,,
use of the population estimates which were available at the time of release.,,,,,
4. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the,,,,,
resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/mcd.html#Age Group.,,,,,
